"Step","jolly-dew-128 - test_roc_auc","jolly-dew-128 - test_roc_auc__MIN","jolly-dew-128 - test_roc_auc__MAX","silver-elevator-130 - test_roc_auc","silver-elevator-130 - test_roc_auc__MIN","silver-elevator-130 - test_roc_auc__MAX","happy-snowball-154 - test_roc_auc","happy-snowball-154 - test_roc_auc__MIN","happy-snowball-154 - test_roc_auc__MAX","rural-fire-127 - test_roc_auc","rural-fire-127 - test_roc_auc__MIN","rural-fire-127 - test_roc_auc__MAX","magic-voice-542 - test_roc_auc","magic-voice-542 - test_roc_auc__MIN","magic-voice-542 - test_roc_auc__MAX","dainty-oath-156 - test_roc_auc","dainty-oath-156 - test_roc_auc__MIN","dainty-oath-156 - test_roc_auc__MAX","breathtaking-violet-235 - test_roc_auc","breathtaking-violet-235 - test_roc_auc__MIN","breathtaking-violet-235 - test_roc_auc__MAX","burning-dove-241 - test_roc_auc","burning-dove-241 - test_roc_auc__MIN","burning-dove-241 - test_roc_auc__MAX","mesmerizing-candy-240 - test_roc_auc","mesmerizing-candy-240 - test_roc_auc__MIN","mesmerizing-candy-240 - test_roc_auc__MAX","blazing-date-239 - test_roc_auc","blazing-date-239 - test_roc_auc__MIN","blazing-date-239 - test_roc_auc__MAX","honest-dove-243 - test_roc_auc","honest-dove-243 - test_roc_auc__MIN","honest-dove-243 - test_roc_auc__MAX","decadent-date-236 - test_roc_auc","decadent-date-236 - test_roc_auc__MIN","decadent-date-236 - test_roc_auc__MAX","genuine-quiver-242 - test_roc_auc","genuine-quiver-242 - test_roc_auc__MIN","genuine-quiver-242 - test_roc_auc__MAX","smitten-ring-238 - test_roc_auc","smitten-ring-238 - test_roc_auc__MIN","smitten-ring-238 - test_roc_auc__MAX","dazzling-violet-237 - test_roc_auc","dazzling-violet-237 - test_roc_auc__MIN","dazzling-violet-237 - test_roc_auc__MAX","constant-quiver-244 - test_roc_auc","constant-quiver-244 - test_roc_auc__MIN","constant-quiver-244 - test_roc_auc__MAX","smoldering-valentine-245 - test_roc_auc","smoldering-valentine-245 - test_roc_auc__MIN","smoldering-valentine-245 - test_roc_auc__MAX","cute-dove-248 - test_roc_auc","cute-dove-248 - test_roc_auc__MIN","cute-dove-248 - test_roc_auc__MAX","mesmerizing-heartthrob-249 - test_roc_auc","mesmerizing-heartthrob-249 - test_roc_auc__MIN","mesmerizing-heartthrob-249 - test_roc_auc__MAX","charismatic-admirer-246 - test_roc_auc","charismatic-admirer-246 - test_roc_auc__MIN","charismatic-admirer-246 - test_roc_auc__MAX","head-over-heels-date-251 - test_roc_auc","head-over-heels-date-251 - test_roc_auc__MIN","head-over-heels-date-251 - test_roc_auc__MAX","dashing-valentine-250 - test_roc_auc","dashing-valentine-250 - test_roc_auc__MIN","dashing-valentine-250 - test_roc_auc__MAX","inviting-ring-247 - test_roc_auc","inviting-ring-247 - test_roc_auc__MIN","inviting-ring-247 - test_roc_auc__MAX","angelic-crush-252 - test_roc_auc","angelic-crush-252 - test_roc_auc__MIN","angelic-crush-252 - test_roc_auc__MAX","resolute-cupid-253 - test_roc_auc","resolute-cupid-253 - test_roc_auc__MIN","resolute-cupid-253 - test_roc_auc__MAX"
"15760","0.7203750618700806","0.7203750618700806","0.7203750618700806","0.7289944886813009","0.7289944886813009","0.7289944886813009","0.7237513631746191","0.7237513631746191","0.7237513631746191","0.7282692113365213","0.7282692113365213","0.7282692113365213","0.7301122858963393","0.7301122858963393","0.7301122858963393","0.722792306259138","0.722792306259138","0.722792306259138","0.7276726620255403","0.7276726620255403","0.7276726620255403","0.7244165930238391","0.7244165930238391","0.7244165930238391","0.7221175062433417","0.7221175062433417","0.7221175062433417","0.7224940367115555","0.7224940367115555","0.7224940367115555","0.7256600124637154","0.7256600124637154","0.7256600124637154","0.7286567370669104","0.7286567370669104","0.7286567370669104","0.7254552182926104","0.7254552182926104","0.7254552182926104","0.72497276857052","0.72497276857052","0.72497276857052","0.7313537660685013","0.7313537660685013","0.7313537660685013","0.7225512310513512","0.7225512310513512","0.7225512310513512","0.7289885192058377","0.7289885192058377","0.7289885192058377","0.7279156663659292","0.7279156663659292","0.7279156663659292","0.7216319472991848","0.7216319472991848","0.7216319472991848","0.7282193402829761","0.7282193402829761","0.7282193402829761","0.7278073794902212","0.7278073794902212","0.7278073794902212","0.7270955546797137","0.7270955546797137","0.7270955546797137","0.7243070956625579","0.7243070956625579","0.7243070956625579","0.7221706586301974","0.7221706586301974","0.7221706586301974","0.7254718691831888","0.7254718691831888","0.7254718691831888"
"31521","0.7255920885440343","0.7255920885440343","0.7255920885440343","0.7235208749176262","0.7235208749176262","0.7235208749176262","0.7244213704398716","0.7244213704398716","0.7244213704398716","0.7234733901332986","0.7234733901332986","0.7234733901332986","0.7263855920934433","0.7263855920934433","0.7263855920934433","0.7258962897136336","0.7258962897136336","0.7258962897136336","0.7245989791056066","0.7245989791056066","0.7245989791056066","0.72536445570291","0.72536445570291","0.72536445570291","0.7274445953841056","0.7274445953841056","0.7274445953841056","0.7197708053889103","0.7197708053889103","0.7197708053889103","0.7141610458005233","0.7141610458005233","0.7141610458005233","0.7220097157819598","0.7220097157819598","0.7220097157819598","0.7252938458804014","0.7252938458804014","0.7252938458804014","0.725122205190747","0.725122205190747","0.725122205190747","0.7179741027153929","0.7179741027153929","0.7179741027153929","0.726842850266863","0.726842850266863","0.726842850266863","0.7233998045742913","0.7233998045742913","0.7233998045742913","0.7258924274316793","0.7258924274316793","0.7258924274316793","0.7330668951958703","0.7330668951958703","0.7330668951958703","0.7253854275508326","0.7253854275508326","0.7253854275508326","0.724173735105624","0.724173735105624","0.724173735105624","0.7231012546938024","0.7231012546938024","0.7231012546938024","0.7237205553006851","0.7237205553006851","0.7237205553006851","0.7215533965782611","0.7215533965782611","0.7215533965782611","0.7233084639399293","0.7233084639399293","0.7233084639399293"
"47282","0.7224718897089563","0.7224718897089563","0.7224718897089563","0.7250075234465135","0.7250075234465135","0.7250075234465135","0.7288688289223922","0.7288688289223922","0.7288688289223922","0.7274840767729378","0.7274840767729378","0.7274840767729378","0.7222232646085446","0.7222232646085446","0.7222232646085446","0.7181189721253939","0.7181189721253939","0.7181189721253939","0.7315084625899815","0.7315084625899815","0.7315084625899815","0.723803284501183","0.723803284501183","0.723803284501183","0.3923080769866177","0.3923080769866177","0.3923080769866177","0.7285998519653517","0.7285998519653517","0.7285998519653517","0.7246191729069612","0.7246191729069612","0.7246191729069612","0.7213837112172969","0.7213837112172969","0.7213837112172969","0.722904943360687","0.722904943360687","0.722904943360687","0.7244943639902067","0.7244943639902067","0.7244943639902067","0.7219853329079746","0.7219853329079746","0.7219853329079746","0.7251990796943341","0.7251990796943341","0.7251990796943341","0.7337767406558864","0.7337767406558864","0.7337767406558864","0.7245438343232877","0.7245438343232877","0.7245438343232877","0.7278482964155029","0.7278482964155029","0.7278482964155029","0.7258032464349692","0.7258032464349692","0.7258032464349692","0.7267003414149782","0.7267003414149782","0.7267003414149782","0.7287371772056735","0.7287371772056735","0.7287371772056735","0.7283529920720551","0.7283529920720551","0.7283529920720551","0.72733608336604","0.72733608336604","0.72733608336604","0.7207774564417591","0.7207774564417591","0.7207774564417591"
"63043","0.7270197851504326","0.7270197851504326","0.7270197851504326","0.724253944251642","0.724253944251642","0.724253944251642","0.7281721541909073","0.7281721541909073","0.7281721541909073","0.7261876647729024","0.7261876647729024","0.7261876647729024","0.7230113323902809","0.7230113323902809","0.7230113323902809","0.7229178510027288","0.7229178510027288","0.7229178510027288","0.7236164706948457","0.7236164706948457","0.7236164706948457","0.7239852836566391","0.7239852836566391","0.7239852836566391","0.7284783417594517","0.7284783417594517","0.7284783417594517","0.7244326407881058","0.7244326407881058","0.7244326407881058","0.7227933347650654","0.7227933347650654","0.7227933347650654","0.73080188968946","0.73080188968946","0.73080188968946","0.726770910524292","0.726770910524292","0.726770910524292","0.7238236036718002","0.7238236036718002","0.7238236036718002","0.7250700200206825","0.7250700200206825","0.7250700200206825","0.725058224909081","0.725058224909081","0.725058224909081","0.726844485665592","0.726844485665592","0.726844485665592","0.7223405117160608","0.7223405117160608","0.7223405117160608","0.7222681236425018","0.7222681236425018","0.7222681236425018","0.7198052162118324","0.7198052162118324","0.7198052162118324","0.7283136944598443","0.7283136944598443","0.7283136944598443","0.723308183701443","0.723308183701443","0.723308183701443","0.727574566338063","0.727574566338063","0.727574566338063","0.7283787613769219","0.7283787613769219","0.7283787613769219","0.7208324054959774","0.7208324054959774","0.7208324054959774"
