"Step","transformer48_to_52 - test_roc_auc","transformer48_to_52 - test_roc_auc__MIN","transformer48_to_52 - test_roc_auc__MAX","transformer8_to_12 - test_roc_auc","transformer8_to_12 - test_roc_auc__MIN","transformer8_to_12 - test_roc_auc__MAX","transformer76_to_80 - test_roc_auc","transformer76_to_80 - test_roc_auc__MIN","transformer76_to_80 - test_roc_auc__MAX","swift-cosmos-102 - test_roc_auc","swift-cosmos-102 - test_roc_auc__MIN","swift-cosmos-102 - test_roc_auc__MAX","polished-pond-99 - test_roc_auc","polished-pond-99 - test_roc_auc__MIN","polished-pond-99 - test_roc_auc__MAX","dutiful-fire-101 - test_roc_auc","dutiful-fire-101 - test_roc_auc__MIN","dutiful-fire-101 - test_roc_auc__MAX","cosmic-violet-100 - test_roc_auc","cosmic-violet-100 - test_roc_auc__MIN","cosmic-violet-100 - test_roc_auc__MAX","dulcet-frog-97 - test_roc_auc","dulcet-frog-97 - test_roc_auc__MIN","dulcet-frog-97 - test_roc_auc__MAX","pleasant-universe-96 - test_roc_auc","pleasant-universe-96 - test_roc_auc__MIN","pleasant-universe-96 - test_roc_auc__MAX","firm-hill-95 - test_roc_auc","firm-hill-95 - test_roc_auc__MIN","firm-hill-95 - test_roc_auc__MAX","rose-forest-94 - test_roc_auc","rose-forest-94 - test_roc_auc__MIN","rose-forest-94 - test_roc_auc__MAX","sage-serenity-93 - test_roc_auc","sage-serenity-93 - test_roc_auc__MIN","sage-serenity-93 - test_roc_auc__MAX","lyric-water-91 - test_roc_auc","lyric-water-91 - test_roc_auc__MIN","lyric-water-91 - test_roc_auc__MAX","earthy-snow-92 - test_roc_auc","earthy-snow-92 - test_roc_auc__MIN","earthy-snow-92 - test_roc_auc__MAX","rich-mountain-90 - test_roc_auc","rich-mountain-90 - test_roc_auc__MIN","rich-mountain-90 - test_roc_auc__MAX","absurd-spaceship-88 - test_roc_auc","absurd-spaceship-88 - test_roc_auc__MIN","absurd-spaceship-88 - test_roc_auc__MAX","misunderstood-snow-86 - test_roc_auc","misunderstood-snow-86 - test_roc_auc__MIN","misunderstood-snow-86 - test_roc_auc__MAX","copper-durian-87 - test_roc_auc","copper-durian-87 - test_roc_auc__MIN","copper-durian-87 - test_roc_auc__MAX","spring-snowflake-85 - test_roc_auc","spring-snowflake-85 - test_roc_auc__MIN","spring-snowflake-85 - test_roc_auc__MAX","vague-paper-84 - test_roc_auc","vague-paper-84 - test_roc_auc__MIN","vague-paper-84 - test_roc_auc__MAX","devout-shadow-83 - test_roc_auc","devout-shadow-83 - test_roc_auc__MIN","devout-shadow-83 - test_roc_auc__MAX","woven-spaceship-82 - test_roc_auc","woven-spaceship-82 - test_roc_auc__MIN","woven-spaceship-82 - test_roc_auc__MAX","warm-dawn-81 - test_roc_auc","warm-dawn-81 - test_roc_auc__MIN","warm-dawn-81 - test_roc_auc__MAX","hardy-galaxy-79 - test_roc_auc","hardy-galaxy-79 - test_roc_auc__MIN","hardy-galaxy-79 - test_roc_auc__MAX","youthful-gorge-78 - test_roc_auc","youthful-gorge-78 - test_roc_auc__MIN","youthful-gorge-78 - test_roc_auc__MAX"
"3940","0.725373699075189","0.725373699075189","0.725373699075189","0.72384361030556","0.72384361030556","0.72384361030556","0.7283209836306533","0.7283209836306533","0.7283209836306533","0.7218031268731554","0.7218031268731554","0.7218031268731554","0.7219346089530095","0.7219346089530095","0.7219346089530095","0.7259413380748545","0.7259413380748545","0.7259413380748545","0.7247769509221085","0.7247769509221085","0.7247769509221085","0.7279086476977237","0.7279086476977237","0.7279086476977237","0.7203347002233376","0.7203347002233376","0.7203347002233376","0.7264781172838108","0.7264781172838108","0.7264781172838108","0.727715442652043","0.727715442652043","0.727715442652043","0.7228532501242799","0.7228532501242799","0.7228532501242799","0.724548336825671","0.724548336825671","0.724548336825671","0.7329812436222247","0.7329812436222247","0.7329812436222247","0.7311355401100736","0.7311355401100736","0.7311355401100736","0.7246831379503557","0.7246831379503557","0.7246831379503557","0.7201156177029132","0.7201156177029132","0.7201156177029132","0.7230127081249437","0.7230127081249437","0.7230127081249437","0.7274406616889001","0.7274406616889001","0.7274406616889001","0.7251744734884839","0.7251744734884839","0.7251744734884839","0.7227501775270194","0.7227501775270194","0.7227501775270194","0.7268833385946227","0.7268833385946227","0.7268833385946227","0.7284283306088212","0.7284283306088212","0.7284283306088212","0.7291756683913543","0.7291756683913543","0.7291756683913543","0.7224433820483819","0.7224433820483819","0.7224433820483819"
"7881","0.7253779601222066","0.7253779601222066","0.7253779601222066","0.7267969638151243","0.7267969638151243","0.7267969638151243","0.7269656405759166","0.7269656405759166","0.7269656405759166","0.7203413792123092","0.7203413792123092","0.7203413792123092","0.7216655518014655","0.7216655518014655","0.7216655518014655","0.7261490259941452","0.7261490259941452","0.7261490259941452","0.7203962750096284","0.7203962750096284","0.7203962750096284","0.7197749745343781","0.7197749745343781","0.7197749745343781","0.7294189650375708","0.7294189650375708","0.7294189650375708","0.7238174871936792","0.7238174871936792","0.7238174871936792","0.7217020222194753","0.7217020222194753","0.7217020222194753","0.72409794996665","0.72409794996665","0.72409794996665","0.724696570854233","0.724696570854233","0.724696570854233","0.7190593752872513","0.7190593752872513","0.7190593752872513","0.7214461818067629","0.7214461818067629","0.7214461818067629","0.7173011667704325","0.7173011667704325","0.7173011667704325","0.725118555024721","0.725118555024721","0.725118555024721","0.7207736340291395","0.7207736340291395","0.7207736340291395","0.7227289992372476","0.7227289992372476","0.7227289992372476","0.7218080774309822","0.7218080774309822","0.7218080774309822","0.7244368670417874","0.7244368670417874","0.7244368670417874","0.7274498246007886","0.7274498246007886","0.7274498246007886","0.7225180045929696","0.7225180045929696","0.7225180045929696","0.7239886788342674","0.7239886788342674","0.7239886788342674","0.7261459275584875","0.7261459275584875","0.7261459275584875"
"11822","0.7243451549538226","0.7243451549538226","0.7243451549538226","0.7233918619568327","0.7233918619568327","0.7233918619568327","0.7233045957972634","0.7233045957972634","0.7233045957972634","0.7268675227238308","0.7268675227238308","0.7268675227238308","0.7276671521650561","0.7276671521650561","0.7276671521650561","0.7254690088719091","0.7254690088719091","0.7254690088719091","0.7212867800503593","0.7212867800503593","0.7212867800503593","0.7240506681922716","0.7240506681922716","0.7240506681922716","0.7266276771500779","0.7266276771500779","0.7266276771500779","0.7233012310098186","0.7233012310098186","0.7233012310098186","0.7309187277405323","0.7309187277405323","0.7309187277405323","0.7265708906153294","0.7265708906153294","0.7265708906153294","0.7234291849472929","0.7234291849472929","0.7234291849472929","0.723923383348232","0.723923383348232","0.723923383348232","0.7202141010312942","0.7202141010312942","0.7202141010312942","0.724354128021947","0.724354128021947","0.724354128021947","0.7204295739735209","0.7204295739735209","0.7204295739735209","0.729171534189299","0.729171534189299","0.729171534189299","0.7291852327995839","0.7291852327995839","0.7291852327995839","0.7215248910675323","0.7215248910675323","0.7215248910675323","0.71689575658098","0.71689575658098","0.71689575658098","0.7218567281457748","0.7218567281457748","0.7218567281457748","0.7267285146823619","0.7267285146823619","0.7267285146823619","0.7237042162351695","0.7237042162351695","0.7237042162351695","0.7256425014844117","0.7256425014844117","0.7256425014844117"
"15763","0.727242886360368","0.727242886360368","0.727242886360368","0.7249355137408732","0.7249355137408732","0.7249355137408732","0.7210584726186192","0.7210584726186192","0.7210584726186192","0.7264772847561267","0.7264772847561267","0.7264772847561267","0.7261022100495844","0.7261022100495844","0.7261022100495844","0.7227085887195225","0.7227085887195225","0.7227085887195225","0.7234036968424302","0.7234036968424302","0.7234036968424302","0.7266601333749529","0.7266601333749529","0.7266601333749529","0.722061283625943","0.722061283625943","0.722061283625943","0.7209884893455736","0.7209884893455736","0.7209884893455736","0.7233814294461061","0.7233814294461061","0.7233814294461061","0.7246519545326043","0.7246519545326043","0.7246519545326043","0.723871081880847","0.723871081880847","0.723871081880847","0.7259820554805978","0.7259820554805978","0.7259820554805978","0.7280306961197202","0.7280306961197202","0.7280306961197202","0.7241749890831466","0.7241749890831466","0.7241749890831466","0.7283833165432333","0.7283833165432333","0.7283833165432333","0.7212408338249751","0.7212408338249751","0.7212408338249751","0.7242798572091961","0.7242798572091961","0.7242798572091961","0.7234914780506042","0.7234914780506042","0.7234914780506042","0.7199805818630515","0.7199805818630515","0.7199805818630515","0.7234932685419787","0.7234932685419787","0.7234932685419787","0.7258679701921239","0.7258679701921239","0.7258679701921239","0.7218589681523547","0.7218589681523547","0.7218589681523547","0.7268731532650217","0.7268731532650217","0.7268731532650217"
