"Step","stoic-snowball-810 - test_roc_auc","stoic-snowball-810 - test_roc_auc__MIN","stoic-snowball-810 - test_roc_auc__MAX","dazzling-glitter-808 - test_roc_auc","dazzling-glitter-808 - test_roc_auc__MIN","dazzling-glitter-808 - test_roc_auc__MAX","vocal-fire-809 - test_roc_auc","vocal-fire-809 - test_roc_auc__MIN","vocal-fire-809 - test_roc_auc__MAX","vital-fog-806 - test_roc_auc","vital-fog-806 - test_roc_auc__MIN","vital-fog-806 - test_roc_auc__MAX","light-glade-802 - test_roc_auc","light-glade-802 - test_roc_auc__MIN","light-glade-802 - test_roc_auc__MAX","lively-fire-804 - test_roc_auc","lively-fire-804 - test_roc_auc__MIN","lively-fire-804 - test_roc_auc__MAX","wild-energy-791 - test_roc_auc","wild-energy-791 - test_roc_auc__MIN","wild-energy-791 - test_roc_auc__MAX","glorious-bee-790 - test_roc_auc","glorious-bee-790 - test_roc_auc__MIN","glorious-bee-790 - test_roc_auc__MAX","celestial-universe-789 - test_roc_auc","celestial-universe-789 - test_roc_auc__MIN","celestial-universe-789 - test_roc_auc__MAX","glorious-thunder-788 - test_roc_auc","glorious-thunder-788 - test_roc_auc__MIN","glorious-thunder-788 - test_roc_auc__MAX","amber-durian-786 - test_roc_auc","amber-durian-786 - test_roc_auc__MIN","amber-durian-786 - test_roc_auc__MAX","devout-glade-787 - test_roc_auc","devout-glade-787 - test_roc_auc__MIN","devout-glade-787 - test_roc_auc__MAX","bumbling-universe-782 - test_roc_auc","bumbling-universe-782 - test_roc_auc__MIN","bumbling-universe-782 - test_roc_auc__MAX","effortless-resonance-774 - test_roc_auc","effortless-resonance-774 - test_roc_auc__MIN","effortless-resonance-774 - test_roc_auc__MAX","deft-moon-770 - test_roc_auc","deft-moon-770 - test_roc_auc__MIN","deft-moon-770 - test_roc_auc__MAX","summer-aardvark-759 - test_roc_auc","summer-aardvark-759 - test_roc_auc__MIN","summer-aardvark-759 - test_roc_auc__MAX","dry-sunset-760 - test_roc_auc","dry-sunset-760 - test_roc_auc__MIN","dry-sunset-760 - test_roc_auc__MAX","olive-deluge-754 - test_roc_auc","olive-deluge-754 - test_roc_auc__MIN","olive-deluge-754 - test_roc_auc__MAX","silver-thunder-746 - test_roc_auc","silver-thunder-746 - test_roc_auc__MIN","silver-thunder-746 - test_roc_auc__MAX","breezy-pyramid-739 - test_roc_auc","breezy-pyramid-739 - test_roc_auc__MIN","breezy-pyramid-739 - test_roc_auc__MAX","celestial-vortex-726 - test_roc_auc","celestial-vortex-726 - test_roc_auc__MIN","celestial-vortex-726 - test_roc_auc__MAX","quiet-energy-725 - test_roc_auc","quiet-energy-725 - test_roc_auc__MIN","quiet-energy-725 - test_roc_auc__MAX","fast-moon-720 - test_roc_auc","fast-moon-720 - test_roc_auc__MIN","fast-moon-720 - test_roc_auc__MAX","genial-dust-721 - test_roc_auc","genial-dust-721 - test_roc_auc__MIN","genial-dust-721 - test_roc_auc__MAX","wild-haze-714 - test_roc_auc","wild-haze-714 - test_roc_auc__MIN","wild-haze-714 - test_roc_auc__MAX"
"15670","0.7221846274435401","0.7221846274435401","0.7221846274435401","0.7232799676579074","0.7232799676579074","0.7232799676579074","0.7232546624385321","0.7232546624385321","0.7232546624385321","0.7279041751049271","0.7279041751049271","0.7279041751049271","0.7212013863749187","0.7212013863749187","0.7212013863749187","0.7262888808080321","0.7262888808080321","0.7262888808080321","0.7269865379639847","0.7269865379639847","0.7269865379639847","0.7234715292031968","0.7234715292031968","0.7234715292031968","0.7227709927335146","0.7227709927335146","0.7227709927335146","0.7244799780088266","0.7244799780088266","0.7244799780088266","0.7212312450676766","0.7212312450676766","0.7212312450676766","0.729227804549108","0.729227804549108","0.729227804549108","0.720997316479175","0.720997316479175","0.720997316479175","0.7288635514895275","0.7288635514895275","0.7288635514895275","0.72751224818274","0.72751224818274","0.72751224818274","0.7275369637856038","0.7275369637856038","0.7275369637856038","0.725987802461455","0.725987802461455","0.725987802461455","0.7255029918651217","0.7255029918651217","0.7255029918651217","0.7227659491459014","0.7227659491459014","0.7227659491459014","0.7183188751805815","0.7183188751805815","0.7183188751805815","0.7235637831382072","0.7235637831382072","0.7235637831382072","0.7207584515231236","0.7207584515231236","0.7207584515231236","0.7235690850229741","0.7235690850229741","0.7235690850229741","0.7262880169841239","0.7262880169841239","0.7262880169841239","0.7238675274122657","0.7238675274122657","0.7238675274122657"
"31341","0.7227784519746435","0.7227784519746435","0.7227784519746435","0.7176620124845717","0.7176620124845717","0.7176620124845717","0.7243249244590196","0.7243249244590196","0.7243249244590196","0.715359020510979","0.715359020510979","0.715359020510979","0.7254495694819675","0.7254495694819675","0.7254495694819675","0.7201430020424817","0.7201430020424817","0.7201430020424817","0.7224172940458188","0.7224172940458188","0.7224172940458188","0.725992202543325","0.725992202543325","0.725992202543325","0.7300289458441241","0.7300289458441241","0.7300289458441241","0.7220162590180556","0.7220162590180556","0.7220162590180556","0.7242011076127474","0.7242011076127474","0.7242011076127474","0.71905238334816","0.71905238334816","0.71905238334816","0.7184322072491659","0.7184322072491659","0.7184322072491659","0.7184989194961531","0.7184989194961531","0.7184989194961531","0.7266198416286124","0.7266198416286124","0.7266198416286124","0.7188692909418567","0.7188692909418567","0.7188692909418567","0.7240340536893564","0.7240340536893564","0.7240340536893564","0.7276659812374515","0.7276659812374515","0.7276659812374515","0.7207174842618342","0.7207174842618342","0.7207174842618342","0.724901445911596","0.724901445911596","0.724901445911596","0.7230614027855153","0.7230614027855153","0.7230614027855153","0.7220583965129472","0.7220583965129472","0.7220583965129472","0.7143174538072695","0.7143174538072695","0.7143174538072695","0.7246516681827417","0.7246516681827417","0.7246516681827417","0.7244827246970363","0.7244827246970363","0.7244827246970363"
"47012","0.7175512655576096","0.7175512655576096","0.7175512655576096","0.7275705646813342","0.7275705646813342","0.7275705646813342","0.7243652202379868","0.7243652202379868","0.7243652202379868","0.7219886713245248","0.7219886713245248","0.7219886713245248","0.7223177482030261","0.7223177482030261","0.7223177482030261","0.718502955603736","0.718502955603736","0.718502955603736","0.7309402116161918","0.7309402116161918","0.7309402116161918","0.7236861138650662","0.7236861138650662","0.7236861138650662","0.721975109824165","0.721975109824165","0.721975109824165","0.7178317445918077","0.7178317445918077","0.7178317445918077","0.721566280966336","0.721566280966336","0.721566280966336","0.7295726121672519","0.7295726121672519","0.7295726121672519","0.7235097776355283","0.7235097776355283","0.7235097776355283","0.7218540315634248","0.7218540315634248","0.7218540315634248","0.7218309562652678","0.7218309562652678","0.7218309562652678","0.7190404972373188","0.7190404972373188","0.7190404972373188","0.7223563199108706","0.7223563199108706","0.7223563199108706","0.7219925913862024","0.7219925913862024","0.7219925913862024","0.725152917311441","0.725152917311441","0.725152917311441","0.7248568438943224","0.7248568438943224","0.7248568438943224","0.7231701552935963","0.7231701552935963","0.7231701552935963","0.7251546150514129","0.7251546150514129","0.7251546150514129","0.7237789590340984","0.7237789590340984","0.7237789590340984","0.7233187674046923","0.7233187674046923","0.7233187674046923","0.7239094269886205","0.7239094269886205","0.7239094269886205"
"62683","0.723419138834586","0.723419138834586","0.723419138834586","0.721481926306238","0.721481926306238","0.721481926306238","0.72329941584828","0.72329941584828","0.72329941584828","0.7231892055993487","0.7231892055993487","0.7231892055993487","0.7193409259712584","0.7193409259712584","0.7193409259712584","0.7189603299434963","0.7189603299434963","0.7189603299434963","0.7238618349202449","0.7238618349202449","0.7238618349202449","0.7201160354943955","0.7201160354943955","0.7201160354943955","0.7211664121276935","0.7211664121276935","0.7211664121276935","0.7227032445763086","0.7227032445763086","0.7227032445763086","0.7278917699169672","0.7278917699169672","0.7278917699169672","0.7223685798015306","0.7223685798015306","0.7223685798015306","0.7241276530834796","0.7241276530834796","0.7241276530834796","0.7198684367941929","0.7198684367941929","0.7198684367941929","0.7236017170036291","0.7236017170036291","0.7236017170036291","0.7280400215987546","0.7280400215987546","0.7280400215987546","0.7302602159349292","0.7302602159349292","0.7302602159349292","0.7255858919862217","0.7255858919862217","0.7255858919862217","0.7244208267314671","0.7244208267314671","0.7244208267314671","0.7244979408315934","0.7244979408315934","0.7244979408315934","0.7246924496334175","0.7246924496334175","0.7246924496334175","0.7250374847241885","0.7250374847241885","0.7250374847241885","0.7254234949048254","0.7254234949048254","0.7254234949048254","0.7217296006144389","0.7217296006144389","0.7217296006144389","0.7219473988484948","0.7219473988484948","0.7219473988484948"
